sample_id	read_id	read_len	read_qscore	channel	start_time	end_time	decision	fastp_status	is_mapped	is_uniq	contig_id
sample	794d91d2-f0e9-4b08-b576-8bb093794d46	276	9.285928	407	41.6295	42.65425	signal_positive	False	False	True	
sample	bcf8ebb0-26c3-466c-81cc-4a81466b40f1	320	8.441257	116	41.63425	42.98775	signal_positive	False	False	True	
sample	308c0aea-30e8-4a8a-8eac-e99c93a9b575	332	10.978478	242	42.69	43.85525	signal_positive	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	8b97f2b5-3367-4fbf-be80-f89f8d59a59a	146	10.573377	510	43.77325	44.46875	signal_positive	False	False	True	
sample	145cce7f-85d2-4b4d-9ba0-8be68a1ef531	324	8.589764	144	42.986	44.16375	signal_positive	False	False	True	
sample	2a9b8c1f-d83e-4d58-aae7-63d429cef858	931	9.598189	282	42.3705	44.80875	signal_positive	False	False	True	
sample	7dcca2a4-703b-4085-b436-433bbc841a0d	1112	10.249241	114	41.9875	44.748749999999994	signal_positive	False	False	True	
sample	e844b6cd-40e3-4fd6-ab3f-886f662cb852	313	9.157900	12	43.85525	45.024249999999995	signal_positive	False	False	True	
sample	e77dcca2-8fb5-402f-a844-e6ed98e3a5fc	534	11.000410	279	44.4985	46.22075	signal_positive	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	c7410bfd-4db4-4878-a88e-9405fbb24166	1370	10.659890	4	41.81225	45.59925	signal_positive	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	c7cbafb3-e229-4d0f-9127-ea6e941f95a8	2154	8.684243	500	42.1425	47.57825	signal_positive	False	False	True	
sample	e6f71008-dc83-4de0-942e-57bfd2835510	2114	9.977743	345	42.33425	47.653499999999994	signal_positive	False	False	True	
sample	7d693e7a-8c83-4bc0-8f53-bde22e4f3a97	1905	11.210499	5	42.9845	47.8865	signal_positive	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	c5076f93-7b6d-422c-8231-c2105ee07dd5	1306	9.884626	472	45.41275	48.70275	signal_positive	False	False	True	
sample	b91ceeac-ba8d-4518-b87b-272e93dba2fd	1350	11.049523	470	45.3455	49.10975	signal_positive	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
